# Commit metadata for kyrox-systems-hq/Kyrox-PM-Staging
# Generated: 2026-01-16T03:40:19.933030
# Format: YYYY-MM-DD | <short_hash> | <subject>
# Total commits: 559
#
2025-12-04 | 728234f | Improve dialog component to allow scrolling and proper centering
2025-12-04 | 7214361 | Apply Kyrox branding to the project management application
2025-12-04 | 704ed91 | Saved progress at the end of the loop
2025-12-04 | 6c554d0 | Improve chat interface alignment and brand color consistency
2025-12-04 | 6c16731 | Transitioned from Plan to Build mode
2025-12-04 | 697690f | Saved progress at the end of the loop
2025-12-04 | 68dbca2 | Saved progress at the end of the loop
2025-12-04 | 65160d9 | Update onboarding popup with correct branding and working close button
2025-12-04 | 631691d | Saved progress at the end of the loop
2025-12-04 | 5ea5b2c | Saved progress at the end of the loop
2025-12-04 | 5ce21cc | Add ability to schedule meetings via conversational interface
2025-12-04 | 584f798 | Saved progress at the end of the loop
2025-12-04 | 51ffb8d | Update UI colors to use primary and destructive themes
2025-12-04 | 51b1204 | Add meeting display to project timelines and differentiate weekends
2025-12-04 | 500b857 | Add ability to manage account settings and integrations through chat
2025-12-04 | 4f6d76d | Transitioned from Plan to Build mode
2025-12-04 | 4e6bab9 | Add chronological order, dependencies, and milestones to task creation
2025-12-04 | 4e5d5e4 | Transitioned from Plan to Build mode
2025-12-04 | 48bb6be | Saved progress at the end of the loop
2025-12-04 | 426abe4 | Saved progress at the end of the loop
2025-12-04 | 3f8e265 | Transitioned from Plan to Build mode
2025-12-04 | 3f1ddea | Add guidance and help features for new users to understand the application
2025-12-04 | 3d7d505 | Transitioned from Plan to Build mode
2025-12-04 | 3c193b2 | Update navigation menu to use brand colors for active state
2025-12-04 | 35c5010 | Add ability to modify and manage tasks through chat commands
2025-12-04 | 2a65c33 | Fix overlapping task bars on the timeline view
2025-12-04 | 28a2de1 | Add milestone functionality to the timeline view for project visualization
2025-12-04 | 28347fa | Saved progress at the end of the loop
2025-12-04 | 22c2153 | Improve naming and fallback logic for Kanban column commands
2025-12-04 | 22933bf | Refine task generation to match project complexity and scope
2025-12-04 | 224d899 | Fix dialogs from overflowing the screen edges
2025-12-04 | 21a5a65 | Saved progress at the end of the loop
2025-12-04 | 1e623f6 | Saved progress at the end of the loop
2025-12-04 | 1de1782 | Add timelines, milestones, and dependencies to project creation
2025-12-04 | 1a3371f | Transitioned from Plan to Build mode
2025-12-04 | 0f7b1bb | Transitioned from Plan to Build mode
2025-12-04 | 0ea1c2b | Saved progress at the end of the loop
2025-12-04 | 0d7f06c | Saved progress at the end of the loop
2025-12-04 | 0c6eb10 | Improve timeline view to display task dependencies and milestones
2025-12-04 | 01738d5 | Transitioned from Plan to Build mode
2025-12-04 | 00f1ef8 | Transitioned from Plan to Build mode
2025-12-03 | bf4a91d | Add onboarding and proactive recommendation features to enhance user experience
2025-12-03 | 46142ea | Add onboarding and recommendation services for user guidance
2025-12-03 | 3fe4f5a | Saved progress at the end of the loop
2025-12-03 | 1369720 | Add meeting tracking and management features to the project
2025-12-02 | f4e7f57 | Add functionality to track automation rule executions and statistics
2025-12-02 | d48fe12 | Add system to provide automation insights and suggestions
2025-12-02 | c560efe | Add an AI-powered "Ask Why" feature for task explanations
2025-12-02 | ba9e1ac | Saved progress at the end of the loop
2025-12-02 | ad1b140 | Saved progress at the end of the loop
2025-12-02 | aa5f4af | Introduce an admin audit page with safety configuration controls
2025-12-02 | 93daedd | Enhance optimization dialog and standardize data handling for automation executions
2025-12-02 | 9324fc8 | Add capability awareness to agents for clear communication of features
2025-12-02 | 7ef2f37 | Add billing and usage metering system for automations
2025-12-02 | 65c0da8 | Add functionality to track automation executions and their statistics
2025-12-02 | 612ef91 | Add optimization suggestions and dialog for improving automation rules
2025-12-02 | 5616091 | Add system to manage feature capabilities and user limitations
2025-12-02 | 4d53052 | Add integrations layer for connecting with external project management and file storage tools
2025-12-02 | 44a073c | Add billing and usage metering capabilities to the project manager
2025-12-02 | 3e40914 | Document new security infrastructure for the project management application
2025-12-02 | 34dd64e | Add meeting linking and awareness capabilities to the project manager
2025-12-02 | 1dee831 | Implement comprehensive security hardening for the project management system
2025-12-02 | 102da74 | Saved progress at the end of the loop
2025-12-01 | f8f47f8 | Add customizable Kanban boards that adapt to different project needs
2025-12-01 | f1bcb2c | Add user management and project assignment API endpoints and stats service
2025-12-01 | efe3631 | Update task and project date handling to improve accuracy and prevent errors
2025-12-01 | e6ce3d6 | Update project navigation to correctly display project manager
2025-12-01 | e39c1c5 | Add daily and weekly planning features with dedicated views
2025-12-01 | d84422e | Update routing to properly display projects based on URL parameters
2025-12-01 | d82b778 | Add ability to assign tasks and view project statistics
2025-12-01 | d330d24 | Show project descriptions and generate professional titles and descriptions for new projects
2025-12-01 | cf5ea8a | Add user management and role capabilities to the project
2025-12-01 | ce8f433 | Update task dependency management to correctly handle API responses
2025-12-01 | cbac5a1 | Add task dependency management and blocking features to the project
2025-12-01 | c12af87 | Update projects page title to display correctly
2025-12-01 | c0b3fea | Improve Kanban board column management and task syncing
2025-12-01 | bed0fc0 | Add functionality to manage task dependencies and blocking states
2025-12-01 | b38288f | Saved progress at the end of the loop
2025-12-01 | b176108 | Saved progress at the end of the loop
2025-12-01 | a88278f | Add task assignment functionality to the project management interface
2025-12-01 | a3add95 | Saved progress at the end of the loop
2025-12-01 | 9f99f1d | Display which tasks are blocking other tasks in the UI
2025-12-01 | 9f6b919 | Add team management and project statistics features to the project manager
2025-12-01 | 9cc7dab | Update documentation to reflect new task dependency features
2025-12-01 | 9506880 | Add API endpoints for managing task dependencies
2025-12-01 | 878d9ba | Add start and end dates to projects and tasks for better planning
2025-12-01 | 7f8a9b0 | Add task dependency tracking and visualization to project management
2025-12-01 | 6d8ff22 | Filter out blocked tasks when planning daily and weekly schedules
2025-12-01 | 6d1faf6 | Add automations tab to the project manager interface
2025-12-01 | 6a20969 | Add project statistics view and user management button to the interface
2025-12-01 | 697fe2c | Show blocked tasks on the Today and Week pages
2025-12-01 | 5fadaaa | Add functionality to manage task dependencies and dependencies between tasks
2025-12-01 | 5465c3e | Add timeline view for projects and agent interaction for scheduling
2025-12-01 | 5111881 | Add system to automatically unblock tasks and explain blockers
2025-12-01 | 44bb8c2 | Add customizable Kanban board columns to projects
2025-12-01 | 4376123 | Add daily and weekly AI-powered planning features to the project manager
2025-12-01 | 3d2e147 | Remove project prompt from user interface display
2025-12-01 | 35239f5 | Improve task dependency handling and cache invalidation across the application
2025-12-01 | 3437d8e | Add internal automation engine for automatic task and project updates
2025-12-01 | 2e76a96 | Add automation features allowing users to create event-driven rules
2025-12-01 | 2da647a | Add timeline view for visualizing project schedules and dependencies
2025-12-01 | 20b7c6b | Add custom Kanban columns with AI suggestions and improved dialog handling
2025-12-01 | 205489d | Add daily and weekly task views with navigation and planning capabilities
2025-12-01 | 1d78e2d | Allow AI to suggest custom Kanban board columns for projects
2025-12-01 | 1cc1647 | Add a feature to report all blocked tasks and explain why tasks are blocked
2025-12-01 | 1ad2740 | Restructure application layout and navigation for improved user experience
2025-12-01 | 1a8ac01 | Improve user experience and navigation across the application
2025-12-01 | 0b40890 | Add an automation engine to allow rules to react to events
2025-11-28 | ffa5f2b | Add icon imports for project creation and navigation
2025-11-28 | d0feda1 | Remove problematic "Project Details" button from views
2025-11-28 | a67e78a | Replace in-memory storage with a persistent database solution
2025-11-28 | 5b6104b | Add button component to projects page to create new projects
2025-11-26 | 76ac815 | Enable chat input for project creation and interaction
2025-11-26 | 74c4d32 | Add ability to create projects directly from chat descriptions
2025-11-26 | 4abf967 | Add ability for chatbot to create projects from user descriptions
2025-11-26 | 48bb493 | Replace project selector with clickable buttons for easier navigation
2025-11-26 | 36df4bc | Add a project selector dropdown to the header for easier project management
2025-11-26 | 32bc8a3 | Fix project creation and display issues for users
2025-11-26 | 047e875 | Add dedicated views for projects and all tasks with navigation
2025-11-26 | 03fefcc | Add detailed logging to diagnose project creation and chat response issues
2025-11-25 | df349e8 | Add AI-powered project management features and improve agent orchestration
2025-11-25 | b70f9b7 | Initial commit
2025-11-25 | a3a368f | Extracted stack files
2025-11-25 | 2cabb65 | Improve agent task scheduling and logging with detailed event data
2025-11-25 | 0eb0c58 | Add OpenAI integration for AI-powered features
